"HOUSEHOLD DATA
ANNUAL AVERAGES
11.  Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,,
[Numbers in thousands],,,,,,,
,,,,,,,
Occupation,2020,,,,,,
,"Total
employed",Percent of total employed,,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino",Tree level
Data entry keyers,228,74.4,72.2,17.6,5.1,15.8,3
Word processors and typists,44,–,–,–,–,–,3
Desktop publishers,0,–,–,–,–,–,3
Insurance claims and policy processing clerks,236,79.2,74.8,17.5,5.7,17.3,3
"Mail clerks and mail machine operators, except postal service",62,41.3,70.8,21.0,4.2,20.0,3
"Office clerks, general","1,227",83.0,77.5,11.8,7.0,19.6,3
"Office machine operators, except computer",22,–,–,–,–,–,3
Proofreaders and copy markers,4,–,–,–,–,–,3
Statistical assistants,65,35.7,70.1,9.8,17.4,6.7,3
"Office and administrative support workers, all other",535,75.9,74.7,16.1,5.3,15.7,3
,,,,,,,
"Natural resources, construction, and maintenance occupations","13,357",5.6,86.7,7.5,2.1,31.1,1
"Farming, fishing, and forestry occupations","1,045",24.1,90.0,4.3,1.6,43.0,2
"First-line supervisors of farming, fishing, and forestry workers",53,12.8,89.5,4.7,2.8,27.6,3
Agricultural inspectors,14,–,–,–,–,–,3
Animal breeders,4,–,–,–,–,–,3
"Graders and sorters, agricultural products",36,–,–,–,–,–,3
Miscellaneous agricultural workers,834,24.4,90.5,4.2,1.0,47.2,3
Fishing and hunting workers,35,–,–,–,–,–,3
Forest and conservation workers,21,–,–,–,–,–,3
Logging workers,47,–,–,–,–,–,3
Construction and extraction occupations,"7,710",4.0,87.8,7.0,1.6,35.7,2
First-line supervisors of construction trades and extraction workers,737,3.5,89.9,5.8,1.1,25.4,3
Boilermakers,19,–,–,–,–,–,3
"Brickmasons, blockmasons, and stonemasons",113,0.3,86.8,8.8,1.0,44.1,3
Carpenters,"1,114",3.2,87.9,6.9,1.9,35.5,3
"Carpet, floor, and tile installers and finishers",172,3.9,93.7,2.5,1.1,53.2,3
"Cement masons, concrete finishers, and terrazzo workers",55,2.8,82.9,8.4,1.3,53.3,3
Construction laborers,"1,902",3.8,86.6,8.0,1.4,46.0,3
Construction equipment operators,359,3.9,85.3,9.9,0.5,17.8,3
"Drywall installers, ceiling tile installers, and tapers",165,5.8,89.2,1.0,2.8,73.1,3
Electricians,901,3.1,87.8,7.6,1.7,23.8,3
Glaziers,45,–,–,–,–,–,3
Insulation workers,53,2.9,86.0,9.6,2.4,54.5,3
Painters and paperhangers,524,8.3,90.0,5.4,0.6,51.2,3
Pipelayers,49,–,–,–,–,–,3
"Plumbers, pipefitters, and steamfitters",537,2.3,88.1,6.9,1.7,24.5,3
Plasterers and stucco masons,24,–,–,–,–,–,3
Reinforcing iron and rebar workers,3,–,–,–,–,–,3
Roofers,210,3.3,86.9,5.1,1.4,53.2,3
Sheet metal workers,123,5.6,87.3,4.5,3.2,13.4,3
Structural iron and steel workers,47,–,–,–,–,–,3
Solar photovoltaic installers,20,–,–,–,–,–,3
"Helpers, construction trades",47,–,–,–,–,–,3
Construction and building inspectors,116,11.9,88.2,3.5,4.5,12.4,3
Elevator and escalator installers and repairers,19,–,–,–,–,–,3
Fence erectors,36,–,–,–,–,–,3
Hazardous materials removal workers,31,–,–,–,–,–,3
Highway maintenance workers,102,7.4,85.2,10.5,0.7,11.0,3
Rail-track laying and maintenance equipment operators,5,–,–,–,–,–,3
Septic tank servicers and sewer pipe cleaners,7,–,–,–,–,–,3
Miscellaneous construction and related workers,22,–,–,–,–,–,3
"Derrick, rotary drill, and service unit operators, oil and gas",22,–,–,–,–,–,3
"Excavating and loading machine and dragline operators, surface mining",5,–,–,–,–,–,3
"Earth drillers, except oil and gas",25,–,–,–,–,–,3
"Explosives workers, ordnance handling experts, and blasters",6,–,–,–,–,–,3
Underground mining machine operators,39,–,–,–,–,–,3
"Roustabouts, oil and gas",6,–,–,–,–,–,3
Other extraction workers,50,1.9,91.8,2.3,0.4,26.1,3
"Installation, maintenance, and repair occupations","4,602",4.1,84.0,9.1,3.1,20.8,2
"First-line supervisors of mechanics, installers, and repairers",226,9.3,85.7,7.2,2.5,12.4,3
"Computer, automated teller, and office machine repairers",190,10.5,80.5,5.5,9.1,19.9,3
Radio and telecommunications equipment installers and repairers,140,8.3,71.5,16.8,6.3,16.8,3
Avionics technicians,9,–,–,–,–,–,3
"Electric motor, power tool, and related repairers",19,–,–,–,–,–,3
"Electrical and electronics installers and repairers, transportation equipment",3,–,–,–,–,–,3
"Electrical and electronics repairers, industrial and utility",9,–,–,–,–,–,3
"Electronic equipment installers and repairers, motor vehicles",5,–,–,–,–,–,3
Audiovisual equipment installers and repairers,29,–,–,–,–,–,3
Security and fire alarm systems installers,63,0.0,77.4,9.6,3.2,34.4,3
Aircraft mechanics and service technicians,153,5.4,84.3,10.8,3.2,23.0,3
Automotive body and related repairers,121,1.0,87.4,7.3,2.2,27.9,3
Automotive glass installers and repairers,15,–,–,–,–,–,3
Automotive service technicians and mechanics,750,1.4,82.8,9.1,3.5,28.3,3
Bus and truck mechanics and diesel engine specialists,357,1.8,85.1,7.4,3.1,18.1,3
Heavy vehicle and mobile equipment service technicians and mechanics,191,0.8,93.7,3.7,0.8,19.1,3
Small engine mechanics,48,–,–,–,–,–,3
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",84,1.2,89.8,7.1,2.1,27.7,3
Control and valve installers and repairers,28,–,–,–,–,–,3
"Heating, air conditioning, and refrigeration mechanics and installers",450,1.5,81.5,12.1,3.1,21.7,3
Home appliance repairers,38,–,–,–,–,–,3
Industrial and refractory machinery mechanics,399,5.2,86.1,9.5,2.5,14.5,3
"Maintenance and repair workers, general",584,4.3,83.9,10.7,1.8,20.6,3
"Maintenance workers, machinery",24,–,–,–,–,–,3
Millwrights,57,4.2,95.6,1.3,1.1,5.8,3
Electrical power-line installers and repairers,127,1.3,89.4,5.5,0.8,10.6,3
Telecommunications line installers and repairers,131,6.3,83.4,12.0,0.9,22.4,3
Precision instrument and equipment repairers,73,16.2,72.9,12.8,9.8,5.9,3
Wind turbine service technicians,5,–,–,–,–,–,3
"Coin, vending, and amusement machine servicers and repairers",29,–,–,–,–,–,3
Commercial divers,6,–,–,–,–,–,3
Locksmiths and safe repairers,28,–,–,–,–,–,3
Manufactured building and mobile home installers,5,–,–,–,–,–,3
Riggers,7,–,–,–,–,–,3
"Helpers--installation, maintenance, and repair workers",16,–,–,–,–,–,3
"Other installation, maintenance, and repair workers",183,5.5,84.2,8.5,3.0,30.4,3
,,,,,,,
"Production, transportation, and material moving occupations","18,215",23.7,74.6,16.7,4.8,23.8,1
Production occupations,"7,590",28.3,77.8,13.1,5.6,23.6,2
First-line supervisors of production and operating workers,748,19.0,79.5,13.7,4.2,17.7,3
"Aircraft structure, surfaces, rigging, and systems assemblers",4,–,–,–,–,–,3
"Electrical, electronics, and electromechanical assemblers",91,42.2,59.5,12.4,18.0,17.2,3
Engine and other machine assemblers,7,–,–,–,–,–,3
Structural metal fabricators and fitters,21,–,–,–,–,–,3
Other assemblers and fabricators,872,32.7,69.0,18.7,8.1,20.7,3
Bakers,235,64.1,77.0,11.8,6.7,26.9,3
"Butchers and other meat, poultry, and fish processing workers",266,25.7,75.1,16.2,5.5,40.1,3
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,–,–,–,–,–,3
Food batchmakers,94,56.8,86.9,7.2,2.8,27.6,3
Food cooking machine operators and tenders,13,–,–,–,–,–,3
"Food processing workers, all other",125,36.9,71.4,17.9,7.1,36.0,3
Computer numerically controlled tool operators and programmers,105,9.0,88.9,7.3,3.3,14.5,3
"Forming machine setters, operators, and tenders, metal and plastic",28,–,–,–,–,–,3
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",72,15.0,78.0,18.7,2.7,22.8,3
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,–,–,–,–,–,3
"Other machine tool setters, operators, and tenders, metal and plastic",7,–,–,–,–,–,3
Machinists,290,5.8,91.7,4.1,3.1,13.2,3
"Metal furnace operators, tenders, pourers, and casters",21,–,–,–,–,–,3
"Model makers and patternmakers, metal and plastic",8,–,–,–,–,–,3
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,–,–,–,–,–,3
Tool and die makers,37,–,–,–,–,–,3
"Welding, soldering, and brazing workers",520,3.8,86.9,7.4,2.7,23.1,3
Other metal workers and plastic workers,341,22.2,75.2,16.7,4.6,26.0,3
Prepress technicians and workers,13,–,–,–,–,–,3
Printing press operators,128,19.7,83.7,7.3,5.8,18.4,3
Print binding and finishing workers,17,–,–,–,–,–,3
Laundry and dry-cleaning workers,120,71.5,58.0,25.6,10.0,26.7,3
"Pressers, textile, garment, and related materials",25,–,–,–,–,–,3
Sewing machine operators,131,66.7,73.5,12.6,10.8,36.9,3
Shoe and leather workers,12,–,–,–,–,–,3
"Tailors, dressmakers, and sewers",64,84.2,66.7,3.9,28.5,22.3,3
"Textile machine setters, operators, and tenders",16,–,–,–,–,–,3
Upholsterers,24,–,–,–,–,–,3
"Other textile, apparel, and furnishings workers",13,–,–,–,–,–,3
Cabinetmakers and bench carpenters,50,7.8,91.5,6.4,1.3,27.2,3
Furniture finishers,13,–,–,–,–,–,3
"Sawing machine setters, operators, and tenders, wood",28,–,–,–,–,–,3
"Woodworking machine setters, operators, and tenders, except sawing",13,–,–,–,–,–,3
Other woodworkers,23,–,–,–,–,–,3
"Power plant operators, distributors, and dispatchers",41,–,–,–,–,–,3
Stationary engineers and boiler operators,56,10.6,77.5,14.4,4.9,10.7,3
Water and wastewater treatment plant and system operators,112,11.0,88.9,8.4,0.9,8.6,3
Miscellaneous plant and system operators,43,–,–,–,–,–,3
"Chemical processing machine setters, operators, and tenders",49,–,–,–,–,–,3
"Crushing, grinding, polishing, mixing, and blending workers",79,19.9,81.6,16.3,1.1,19.2,3
Cutting workers,54,27.1,86.9,9.4,2.3,26.2,3
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",23,–,–,–,–,–,3
"Furnace, kiln, oven, drier, and kettle operators and tenders",12,–,–,–,–,–,3
"Inspectors, testers, sorters, samplers, and weighers",751,38.7,77.2,11.4,7.6,20.6,3
Jewelers and precious stone and metal workers,48,–,–,–,–,–,3
Dental and ophthalmic laboratory technicians and medical appliance technicians,74,59.9,91.0,4.4,4.6,17.0,3
Packaging and filling machine operators and tenders,252,45.8,69.9,20.8,4.1,41.2,3
Painting workers,148,8.1,87.0,7.8,1.5,32.2,3
Photographic process workers and processing machine operators,10,–,–,–,–,–,3
Adhesive bonding machine operators and tenders,11,–,–,–,–,–,3
Etchers and engravers,5,–,–,–,–,–,3
"Molders, shapers, and casters, except metal and plastic",26,–,–,–,–,–,3
"Paper goods machine setters, operators, and tenders",22,–,–,–,–,–,3
Tire builders,2,–,–,–,–,–,3
Helpers--production workers,38,–,–,–,–,–,3
Other production equipment operators and tenders,8,–,–,–,–,–,3
Other production workers,"1,046",27.6,74.0,15.3,6.2,27.2,3
Transportation and material moving occupations,"10,625",20.5,72.3,19.4,4.2,23.9,2
Supervisors of transportation and material moving workers,265,23.5,73.8,14.8,5.7,23.2,3
Aircraft pilots and flight engineers,155,5.6,94.0,3.4,2.2,5.0,3
Air traffic controllers and airfield operations specialists,38,–,–,–,–,–,3
Flight attendants,81,79.7,65.0,19.3,10.6,10.3,3
"Ambulance drivers and attendants, except emergency medical technicians",10,–,–,–,–,–,3
"Bus drivers, school",201,58.5,73.0,21.5,1.9,7.9,3
"Bus drivers, transit and intercity",187,40.7,56.1,37.0,3.6,17.7,3
Driver/sales workers and truck drivers,"3,364",7.8,76.9,16.8,2.9,22.6,3
Shuttle drivers and chauffeurs,88,16.3,61.6,24.5,12.6,24.9,3
Taxi drivers,327,15.1,57.9,27.7,11.9,25.3,3
"Motor vehicle operators, all other",143,22.6,71.8,17.8,9.6,17.0,3
Locomotive engineers and operators,55,7.7,73.5,18.6,3.0,22.6,3
Railroad conductors and yardmasters,40,–,–,–,–,–,3
Other rail transportation workers,12,–,–,–,–,–,3
Sailors and marine oilers,19,–,–,–,–,–,3
Ship and boat captains and operators,31,–,–,–,–,–,3
Ship engineers,3,–,–,–,–,–,3
Parking attendants,53,19.3,59.7,34.0,3.7,30.2,3
Transportation service attendants,93,13.8,67.8,16.6,12.6,10.2,3
Transportation inspectors,35,–,–,–,–,–,3
Passenger attendants,21,–,–,–,–,–,3
Other transportation workers,25,–,–,–,–,–,3
Crane and tower operators,54,0.8,93.5,5.9,0.1,10.1,3
"Conveyor, dredge, and hoist and winch operators",30,–,–,–,–,–,3
Industrial truck and tractor operators,553,7.0,66.5,25.5,2.5,31.2,3
Cleaners of vehicles and equipment,344,19.2,73.9,19.2,3.7,34.6,3
"Laborers and freight, stock, and material movers, hand","1,995",20.5,72.2,18.6,4.0,28.0,3
Machine feeders and offbearers,11,–,–,–,–,–,3
"Packers and packagers, hand",640,51.4,63.0,25.9,8.0,32.5,3
Stockers and order fillers,"1,570",35.0,70.4,19.9,3.9,22.3,3
Pumping station operators,20,–,–,–,–,–,3
Refuse and recyclable material collectors,98,9.7,68.9,27.9,1.3,31.4,3
Other material moving workers,62,18.2,79.0,18.6,0.0,14.3,3
,,,,,,,
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Effective with January 2020 data, occupations reflect the introduction of the 2018 Census occupational classification system, derived from the 2018 Standard Occupational Classification (SOC). No historical data have been revised. Data for 2020 are not strictly comparable with earlier years. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,,
