"HOUSEHOLD DATA
ANNUAL AVERAGES
11.  Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,,
[Numbers in thousands],,,,,,,
,,,,,,,
Occupation,2020,,,,,,
,"Total
employed",Percent of total employed,,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino",Tree level
Sociologists,3,–,–,–,–,–,4
Urban and regional planners,47,–,–,–,–,–,4
Miscellaneous social scientists and related workers,50,47.7,83.4,1.9,5.5,7.8,4
Agricultural and food science technicians,41,–,–,–,–,–,4
Biological technicians,24,–,–,–,–,–,4
Chemical technicians,68,42.6,82.5,10.3,5.0,12.1,4
Environmental science and geoscience technicians,21,–,–,–,–,–,4
Nuclear technicians,7,–,–,–,–,–,4
Social science research assistants,4,–,–,–,–,–,4
"Other life, physical, and social science technicians",258,54.1,78.0,4.9,10.9,10.7,4
Occupational health and safety specialists and technicians,85,35.8,90.3,1.6,2.9,11.7,4
Community and social service occupations,"2,717",68.8,72.7,19.9,3.4,13.5,3
Substance abuse and behavioral disorder counselors,130,81.3,70.2,25.4,1.7,16.8,4
"Educational, guidance, and career counselors and advisors",343,77.8,73.0,19.0,4.0,14.8,4
Marriage and family therapists,40,–,–,–,–,–,4
Mental health counselors,138,72.9,87.5,9.4,2.0,14.0,4
Rehabilitation counselors,28,–,–,–,–,–,4
"Counselors, all other",225,68.2,75.0,18.3,3.7,15.2,4
"Child, family, and school social workers",62,89.8,65.3,26.8,0.6,21.3,4
Healthcare social workers,78,87.0,69.0,20.3,8.2,9.2,4
Mental health and substance abuse social workers,24,–,–,–,–,–,4
"Social workers, all other",673,85.4,64.4,25.7,3.7,15.0,4
Probation officers and correctional treatment specialists,105,50.7,66.6,26.9,0.7,12.8,4
Social and human service assistants,230,79.6,72.6,18.9,3.2,14.9,4
Other community and social service specialists,100,77.6,61.6,30.4,3.3,12.7,4
Clergy,420,18.5,82.3,11.7,3.8,7.8,4
"Directors, religious activities and education",57,64.9,94.4,2.4,2.1,8.9,4
"Religious workers, all other",64,71.5,77.7,13.4,6.2,11.7,4
Legal occupations,"1,882",51.9,83.5,8.6,5.6,8.3,3
Lawyers,"1,183",37.4,86.5,6.8,5.2,5.8,4
Judicial law clerks,21,–,–,–,–,–,4
"Judges, magistrates, and other judicial workers",78,53.9,74.4,16.6,5.7,6.2,4
Paralegals and legal assistants,416,85.8,79.9,10.3,6.8,15.1,4
"Title examiners, abstractors, and searchers",101,69.0,76.4,11.5,9.2,7.8,4
"Legal support workers, all other",83,62.8,73.2,17.6,2.9,10.1,4
"Education, training, and library occupations","8,902",73.5,82.0,10.0,4.9,10.9,3
Postsecondary teachers,"1,156",51.1,79.1,6.5,11.2,6.2,4
Preschool and kindergarten teachers,535,98.8,82.8,12.0,2.2,15.3,4
Elementary and middle school teachers,"3,371",79.6,84.1,10.5,2.8,10.5,4
Secondary school teachers,963,58.8,87.0,7.7,3.0,8.9,4
Special education teachers,332,81.4,87.5,7.2,1.8,8.9,4
Tutors,195,67.4,75.9,12.4,7.5,16.0,4
Other teachers and instructors,687,67.5,79.1,11.6,6.2,9.7,4
"Archivists, curators, and museum technicians",57,63.6,94.6,0.6,4.4,7.6,4
Librarians and media collections specialists,176,83.2,83.1,9.5,3.5,9.9,4
Library technicians,34,–,–,–,–,–,4
Teaching assistants,"1,220",80.1,74.1,13.6,7.6,16.6,4
Other educational instruction and library workers,176,73.4,86.5,7.2,4.0,12.5,4
"Arts, design, entertainment, sports, and media occupations","3,042",51.3,82.0,8.5,5.9,11.2,3
Artists and related workers,256,53.5,85.7,3.6,6.1,9.3,4
Commercial and industrial designers,11,–,–,–,–,–,4
Fashion designers,34,–,–,–,–,–,4
Floral designers,50,81.5,90.0,2.6,0.8,18.6,4
Graphic designers,295,57.2,83.0,6.7,7.8,14.4,4
Interior designers,131,84.0,79.7,6.7,10.6,7.6,4
